team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Los Angeles Knight Riders,Texas Super Kings,30.0,60.0,33.33333333333333,3,1,30.0,60.0,167.8,196.2,6.8,6.2,174.0,52.94117647058824,Los Angeles Knight Riders,Bowl,28.3,67.0,10.0,Grand Prairie Stadium,Balanced,0
Seattle Orcas,San Francisco Unicorns,40.0,60.0,33.33333333333333,0,5,30.0,60.0,144.4,224.8,7.8,5.4,174.0,52.94117647058824,San Francisco Unicorns,Bowl,25.4,76.0,65.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,Washington Freedom,60.0,70.0,0.0,1,4,60.0,70.0,145.6,183.0,8.2,6.2,174.0,52.94117647058824,Washington Freedom,Bowl,27.9,64.0,25.0,Grand Prairie Stadium,Balanced,0
Seattle Orcas,MI New York,40.0,50.0,25.0,0,1,30.0,50.0,145.2,190.8,8.0,5.6,175.0,54.285714285714285,Seattle Orcas,Bowl,28.9,57.0,21.0,Grand Prairie Stadium,Balanced,0
Washington Freedom,San Francisco Unicorns,70.0,60.0,60.0,5,5,70.0,60.0,196.6,206.2,5.2,6.0,176.0,55.55555555555556,Washington Freedom,Bat,33.4,44.0,6.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,Seattle Orcas,60.0,40.0,75.0,1,1,60.0,30.0,150.8,163.8,7.0,7.6,176.0,54.054054054054056,Los Angeles Knight Riders,Bowl,28.9,59.0,6.0,Grand Prairie Stadium,Balanced,0
Texas Super Kings,MI New York,30.0,50.0,80.0,3,1,30.0,50.0,189.6,201.8,5.8,4.8,177.0,55.26315789473685,Mi New York,Bowl,29.4,63.0,3.0,Grand Prairie Stadium,Balanced,0
San Francisco Unicorns,Seattle Orcas,60.0,40.0,75.0,4,2,33.33333333333333,33.33333333333333,193.8,193.0,6.2,6.6,177.46579943003147,43.74520397163472,San Francisco Unicorns,Bowl,27.4,80.0,10.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
Texas Super Kings,Washington Freedom,30.0,70.0,0.0,3,5,66.66666666666666,66.66666666666666,198.0,200.6,5.8,5.4,168.0,100.0,Washington Freedom,Bowl,24.5,91.0,80.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
Los Angeles Knight Riders,MI New York,60.0,50.0,0.0,1,1,33.33333333333333,66.66666666666666,166.4,202.2,5.8,5.2,127.0,50.0,Los Angeles Knight Riders,Bowl,26.1,91.0,10.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
San Francisco Unicorns,Texas Super Kings,60.0,30.0,50.0,3,3,33.33333333333333,66.66666666666666,189.8,184.8,5.8,5.0,136.0,66.66666666666666,Texas Super Kings,Bowl,29.9,70.0,99.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
Washington Freedom,Seattle Orcas,70.0,40.0,66.66666666666666,4,3,66.66666666666666,33.33333333333333,167.8,186.8,5.2,6.8,136.0,66.66666666666666,Washington Freedom,Bowl,27.5,84.0,99.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
MI New York,Los Angeles Knight Riders,50.0,60.0,100.0,1,1,66.66666666666666,33.33333333333333,192.6,178.2,5.0,5.4,127.0,60.0,Los Angeles Knight Riders,Bowl,31.0,65.0,99.0,Central Broward Regional Park Stadium Turf Ground,Balanced,1
Seattle Orcas,Texas Super Kings,40.0,30.0,50.0,3,3,33.33333333333333,66.66666666666666,167.8,174.6,7.6,5.4,130.0,50.0,Seattle Orcas,Bowl,28.5,74.0,99.0,Central Broward Regional Park Stadium Turf Ground,Balanced,1
Washington Freedom,MI New York,70.0,50.0,60.0,4,2,66.66666666666666,66.66666666666666,147.2,183.4,4.0,6.0,138.0,42.85714285714285,Washington Freedom,Bat,31.5,64.0,90.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
Los Angeles Knight Riders,San Francisco Unicorns,60.0,60.0,0.0,0,3,33.33333333333333,33.33333333333333,169.8,179.0,5.4,6.4,138.0,42.85714285714285,San Francisco Unicorns,Bowl,26.9,78.0,90.0,Central Broward Regional Park Stadium Turf Ground,Balanced,0
Washington Freedom,Texas Super Kings,70.0,30.0,75.0,4,4,70.0,30.0,125.2,168.2,4.2,5.0,178.0,53.84615384615385,Washington Freedom,Bowl,20.5,93.0,88.0,Grand Prairie Stadium,Balanced,0
San Francisco Unicorns,MI New York,60.0,50.0,100.0,2,2,60.0,50.0,176.4,166.0,7.6,6.4,178.0,52.5,San Francisco Unicorns,Bowl,24.9,78.0,25.0,Grand Prairie Stadium,Balanced,0
Texas Super Kings,MI New York,30.0,50.0,80.0,4,3,30.0,50.0,168.2,145.0,5.0,7.2,177.0,53.65853658536586,Mi New York,Bowl,27.5,65.0,40.0,Grand Prairie Stadium,Balanced,1
Washington Freedom,MI New York,70.0,50.0,80.0,4,4,70.0,50.0,125.2,142.6,4.2,6.0,177.0,54.761904761904766,Washington Freedom,Bowl,25.4,79.0,70.0,Grand Prairie Stadium,Balanced,1
MI New York,Seattle Orcas,50.0,40.0,50.0,4,3,50.0,33.33333333333333,168.4,160.6,4.8,5.2,161.0,28.57142857142857,Mi New York,Bowl,28.0,61.0,79.0,Church Street Park,Balanced,0
Los Angeles Knight Riders,Texas Super Kings,30.0,60.0,0.0,2,1,30.0,60.0,147.2,178.6,8.8,6.8,168.0,53.84615384615385,Los Angeles Knight Riders,Bowl,22.9,76.0,96.0,Grand Prairie Stadium,Balanced,0
Washington Freedom,MI New York,70.0,50.0,0.0,3,4,80.0,50.0,151.6,158.4,6.4,5.2,154.0,25.0,Washington Freedom,Bowl,25.9,62.0,41.0,Church Street Park,Balanced,0
San Francisco Unicorns,Los Angeles Knight Riders,60.0,60.0,100.0,2,2,60.0,60.0,168.6,150.6,8.0,7.4,168.0,57.14285714285714,San Francisco Unicorns,Bowl,28.0,65.0,25.0,Grand Prairie Stadium,Balanced,0
Washington Freedom,Texas Super Kings,70.0,30.0,100.0,3,1,80.0,66.66666666666666,130.0,146.6,5.6,8.8,154.0,25.0,Washington Freedom,Bowl,29.0,39.0,25.0,Church Street Park,Balanced,0
Los Angeles Knight Riders,Seattle Orcas,60.0,40.0,100.0,2,2,60.0,30.0,173.6,156.6,6.6,6.8,167.0,53.333333333333336,Los Angeles Knight Riders,Bowl,28.9,50.0,1.0,Grand Prairie Stadium,Balanced,0
San Francisco Unicorns,Texas Super Kings,60.0,30.0,0.0,2,1,25.0,66.66666666666666,158.8,146.6,7.8,8.8,160.0,33.33333333333333,Texas Super Kings,Bowl,29.0,60.0,90.0,Church Street Park,Balanced,1
Seattle Orcas,Washington Freedom,40.0,70.0,100.0,3,3,30.0,70.0,156.4,130.0,5.8,5.6,167.0,56.25,Washington Freedom,Bowl,31.3,54.0,1.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,Washington Freedom,70.0,60.0,0.0,3,2,80.0,50.0,142.4,168.4,8.0,5.6,156.0,40.0,Washington Freedom,Bowl,28.0,39.0,2.0,Church Street Park,Balanced,0
Texas Super Kings,MI New York,30.0,50.0,50.0,2,4,30.0,50.0,146.8,150.4,7.4,5.4,165.0,58.82352941176471,Mi New York,Bowl,33.9,44.0,7.0,Grand Prairie Stadium,Balanced,0
Seattle Orcas,San Francisco Unicorns,40.0,60.0,100.0,2,2,33.33333333333333,25.0,142.2,155.8,6.2,7.8,154.0,36.36363636363637,San Francisco Unicorns,Bowl,28.3,63.0,90.0,Church Street Park,Balanced,1
MI New York,Washington Freedom,50.0,70.0,66.66666666666666,2,4,50.0,70.0,139.6,123.8,6.6,4.4,166.0,57.89473684210527,Mi New York,Bowl,33.8,48.0,1.0,Grand Prairie Stadium,Balanced,1
Seattle Orcas,Los Angeles Knight Riders,40.0,60.0,50.0,1,2,33.33333333333333,50.0,145.2,159.8,7.2,7.2,155.0,41.66666666666667,Los Angeles Knight Riders,Bat,24.4,78.0,90.0,Church Street Park,Balanced,1
MI New York,San Francisco Unicorns,50.0,60.0,0.0,2,2,50.0,60.0,139.6,146.4,6.6,7.8,166.0,57.89473684210527,San Francisco Unicorns,Bat,30.4,54.0,40.0,Grand Prairie Stadium,Balanced,1
Texas Super Kings,Washington Freedom,30.0,70.0,0.0,2,4,30.0,70.0,147.6,123.8,7.2,4.4,165.0,60.0,Texas Super Kings,Bowl,28.9,49.0,1.0,Grand Prairie Stadium,Balanced,1
San Francisco Unicorns,Seattle Orcas,60.0,40.0,50.0,3,1,60.0,30.0,155.4,137.0,7.2,6.6,167.0,61.90476190476191,San Francisco Unicorns,Bowl,31.9,44.0,1.0,Grand Prairie Stadium,Balanced,0
Los Angeles Knight Riders,MI New York,60.0,50.0,0.0,2,1,60.0,50.0,153.4,131.8,6.8,7.4,167.0,59.09090909090909,Los Angeles Knight Riders,Bowl,26.6,71.0,96.0,Grand Prairie Stadium,Balanced,0
San Francisco Unicorns,Washington Freedom,60.0,70.0,0.0,4,5,60.0,70.0,152.4,140.0,6.4,3.6,165.0,60.86956521739131,San Francisco Unicorns,Bowl,24.0,80.0,44.0,Grand Prairie Stadium,Balanced,0
Texas Super Kings,Seattle Orcas,30.0,40.0,0.0,2,1,30.0,30.0,155.2,145.8,7.4,6.0,165.0,60.86956521739131,Texas Super Kings,Bowl,25.9,71.0,25.0,Grand Prairie Stadium,Balanced,0
Texas Super Kings,MI New York,30.0,50.0,66.66666666666666,3,1,30.0,50.0,159.0,136.4,7.0,7.8,165.0,58.333333333333336,Texas Super Kings,Bowl,26.4,63.0,3.0,Grand Prairie Stadium,Balanced,0
Washington Freedom,San Francisco Unicorns,70.0,60.0,50.0,4,4,70.0,60.0,163.8,154.6,4.0,6.4,165.0,56.00000000000001,Washington Freedom,Bowl,25.4,67.0,40.0,Grand Prairie Stadium,Balanced,1
San Francisco Unicorns,Texas Super Kings,60.0,30.0,0.0,4,4,60.0,30.0,158.2,162.4,6.4,5.6,165.0,53.84615384615385,Texas Super Kings,Bowl,25.8,71.0,25.0,Grand Prairie Stadium,Balanced,0
Washington Freedom,San Francisco Unicorns,70.0,60.0,66.66666666666666,4,4,70.0,60.0,168.2,165.2,3.6,6.2,166.0,51.85185185185185,San Francisco Unicorns,Bowl,31.4,54.0,2.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,Texas Super Kings,30.0,60.0,0.0,0,0,30.0,60.0,168.2,165.2,6.487912087912089,6.426373626373626,169.84783702441425,47.07628331345601,Los Angeles Knight Riders,Bowl,34.3,46.0,60.0,Grand Prairie Stadium,Balanced,0
MI New York,San Francisco Unicorns,50.0,60.0,0.0,0,0,50.0,60.0,168.2,165.2,6.487912087912088,6.426373626373627,181.0,0.0,San Francisco Unicorns,Bat,38.4,30.0,1.0,Grand Prairie Stadium,Balanced,1
Seattle Orcas,Washington Freedom,40.0,70.0,0.0,0,0,30.0,70.0,168.2,165.2,6.487912087912088,6.426373626373627,198.0,50.0,Seattle Orcas,Bowl,33.5,45.0,1.0,Grand Prairie Stadium,Balanced,1
San Francisco Unicorns,Seattle Orcas,60.0,40.0,0.0,1,1,60.0,30.0,215.0,148.0,5.0,5.0,180.0,33.33333333333333,San Francisco Unicorns,Bat,31.4,67.0,25.0,Grand Prairie Stadium,Balanced,1
Texas Super Kings,Washington Freedom,30.0,70.0,0.0,1,0,30.0,70.0,181.0,144.0,6.0,7.0,179.0,50.0,Washington Freedom,Bat,32.6,50.0,10.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,MI New York,60.0,50.0,0.0,0,0,60.0,50.0,112.0,193.0,10.0,5.0,179.0,50.0,Los Angeles Knight Riders,Bat,27.3,73.0,10.0,Grand Prairie Stadium,Balanced,0
Texas Super Kings,MI New York,30.0,50.0,0.0,1,1,30.0,50.0,415.5,348.0,17.0,13.0,172.0,66.66666666666666,Texas Super Kings,Bat,33.8,35.0,1.0,Grand Prairie Stadium,Balanced,0
Los Angeles Knight Riders,San Francisco Unicorns,60.0,60.0,0.0,0,1,60.0,60.0,250.5,357.0,22.0,15.0,169.0,57.14285714285714,San Francisco Unicorns,Bat,33.8,39.0,1.0,Grand Prairie Stadium,Balanced,1
Los Angeles Knight Riders,Washington Freedom,70.0,60.0,0.0,1,0,80.0,50.0,676.5,548.0,28.0,21.0,170.54546470955668,46.85011032303848,Washington Freedom,Bowl,-0.2,84.0,75.0,Church Street Park,Balanced,0
