team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Welsh Fire,MI London,20.0,80.0,0.0,1,2,20.0,100.0,129.2,149.2,7.4,6.2,154.0,75.0,Welsh Fire,Bowl,22.9,48.0,2.0,Sophia Gardens,Balanced,1
London Spirit,Manchesters Super Giants,30.0,30.0,100.0,2,1,50.0,25.0,142.8,143.2,6.6,6.8,141.22429906542055,55.40358715134128,Manchesters Super Giants,Bat,24.9,41.0,3.0,Lords,Balanced,0
Sunrisers Leeds,Trent Rockets,70.0,70.0,0.0,3,2,60.0,100.0,0.0,0.0,0.0,0.0,160.0,50.0,Trent Rockets,Bowl,22.0,42.0,2.0,Headingley,Balanced,1
Birmingham Phoenix,Southern Brave,40.0,50.0,0.0,3,5,70.0,50.0,0.0,0.0,0.0,0.0,161.0,75.0,Southern Brave,Bowl,25.8,23.0,1.0,Edgbaston,Balanced,0
MI London,Sunrisers Leeds,80.0,70.0,0.0,3,2,90.0,50.0,146.4,157.0,6.6,6.2,134.0,66.66666666666666,Mi London,Bowl,30.8,27.0,0.0,Kennington Oval,Balanced,0
Southern Brave,London Spirit,50.0,30.0,100.0,4,3,60.0,33.33333333333333,0.0,0.0,0.0,0.0,132.0,80.0,London Spirit,Bat,24.3,53.0,0.0,The Rose Bowl,Balanced,1
Manchesters Super Giants,Trent Rockets,30.0,70.0,0.0,0,3,30.0,100.0,134.0,143.0,8.25,6.0,97.0,40.0,Trent Rockets,Bowl,31.6,27.0,3.0,Emirates Old Trafford,Balanced,0
Welsh Fire,Birmingham Phoenix,20.0,40.0,0.0,1,3,20.0,100.0,0.0,0.0,0.0,0.0,155.0,80.0,Welsh Fire,Bowl,29.8,29.0,1.0,Sophia Gardens,Balanced,1
Sunrisers Leeds,London Spirit,70.0,30.0,0.0,2,3,60.0,50.0,162.8,157.4,6.4,6.0,159.0,60.0,Sunrisers Leeds,Bat,30.8,22.0,3.0,Headingley,Balanced,1
MI London,Southern Brave,80.0,50.0,0.0,3,3,90.0,40.0,0.0,103.44740481119986,0.0,4.755196523053665,137.0,57.14285714285714,Mi London,Bowl,27.9,33.0,2.0,Kennington Oval,Balanced,0
Birmingham Phoenix,Trent Rockets,40.0,70.0,66.66666666666666,3,4,70.0,20.0,147.0,136.0,2.0,3.0,164.0,60.0,Birmingham Phoenix,Bowl,21.1,71.0,80.0,Edgbaston,Balanced,0
Manchesters Super Giants,Welsh Fire,30.0,20.0,0.0,0,1,30.0,50.0,144.8,132.2,7.0,6.0,112.0,50.0,Welsh Fire,Bowl,16.8,79.0,88.0,Emirates Old Trafford,Balanced,0
Trent Rockets,MI London,70.0,80.0,0.0,3,3,70.0,0.0,101.14650586910291,0.0,4.716117415726676,0.0,140.0,60.0,Mi London,Bowl,16.7,62.0,55.0,Trent Bridge,Balanced,0
Manchesters Super Giants,Southern Brave,50.0,30.0,0.0,2,1,60.0,66.66666666666666,101.14650586910291,0.0,4.716117415726676,0.0,135.0,83.33333333333334,Manchesters Super Giants,Bowl,18.4,86.0,9.0,The Rose Bowl,Balanced,0
Birmingham Phoenix,Sunrisers Leeds,40.0,70.0,100.0,3,1,70.0,50.0,101.14650586910292,0.0,4.716117415726676,0.0,160.0,50.0,Birmingham Phoenix,Bowl,16.1,60.0,3.0,Edgbaston,Balanced,1
Trent Rockets,London Spirit,70.0,30.0,100.0,4,4,70.0,0.0,164.2,157.6,3.8,5.2,147.0,50.0,Trent Rockets,Bowl,20.0,49.0,25.0,Trent Bridge,Balanced,0
Sunrisers Leeds,Manchesters Super Giants,70.0,30.0,0.0,2,2,60.0,60.0,156.6,159.0,6.0,5.8,156.0,66.66666666666666,Sunrisers Leeds,Bowl,16.2,64.0,25.0,Headingley,Balanced,1
Welsh Fire,Southern Brave,20.0,50.0,33.33333333333333,1,1,20.0,80.0,123.8,125.4,7.0,6.8,150.0,83.33333333333334,Southern Brave,Bowl,19.3,80.0,55.0,Sophia Gardens,Balanced,1
MI London,Birmingham Phoenix,80.0,40.0,0.0,3,3,90.0,33.33333333333333,156.4,147.0,5.4,6.0,137.0,50.0,Birmingham Phoenix,Bowl,21.6,79.0,11.0,Kennington Oval,Balanced,1
London Spirit,Welsh Fire,30.0,20.0,0.0,4,0,50.0,0.0,149.4,116.6,6.2,7.2,160.0,0.0,Welsh Fire,Bowl,25.0,56.0,40.0,Lords,Balanced,0
Southern Brave,Trent Rockets,50.0,70.0,50.0,1,4,60.0,0.0,130.0,160.2,6.8,3.8,142.0,85.71428571428571,Southern Brave,Bowl,19.0,96.0,80.0,The Rose Bowl,Balanced,0
Sunrisers Leeds,Welsh Fire,20.0,70.0,0.0,0,1,20.0,100.0,144.4,165.8,7.0,6.2,147.0,85.71428571428571,Welsh Fire,Bat,16.5,79.0,15.0,Sophia Gardens,Balanced,0
London Spirit,MI London,30.0,80.0,50.0,4,3,50.0,100.0,146.4,154.0,6.2,5.6,158.0,0.0,London Spirit,Bat,16.9,74.0,6.0,Lords,Balanced,1
Birmingham Phoenix,Manchesters Super Giants,40.0,30.0,0.0,4,3,70.0,50.0,151.6,168.4,5.8,6.0,162.0,57.14285714285714,Manchesters Super Giants,Bat,18.3,54.0,6.0,Edgbaston,Balanced,1
Trent Rockets,Welsh Fire,70.0,20.0,100.0,3,0,70.0,50.0,156.8,122.0,4.4,7.2,143.0,42.857142857142854,Welsh Fire,Bowl,15.6,58.0,40.0,Trent Bridge,Balanced,0
London Spirit,Birmingham Phoenix,30.0,40.0,0.0,3,3,50.0,66.66666666666666,138.8,131.4,6.4,7.0,146.0,33.33333333333333,Birmingham Phoenix,Bowl,21.1,50.0,16.0,Lords,Balanced,1
Sunrisers Leeds,Southern Brave,70.0,50.0,0.0,2,2,60.0,0.0,154.0,133.8,5.8,5.6,163.0,71.42857142857143,Sunrisers Leeds,Bowl,19.1,42.0,5.0,Headingley,Balanced,0
Manchesters Super Giants,MI London,30.0,80.0,0.0,4,3,30.0,50.0,177.6,147.2,5.2,5.4,118.0,42.857142857142854,Mi London,Bat,16.2,57.0,3.0,Emirates Old Trafford,Balanced,0
Manchesters Super Giants,London Spirit,30.0,30.0,0.0,5,2,66.66666666666666,33.33333333333333,168.6,137.2,5.4,6.4,142.0,75.0,Manchesters Super Giants,Bat,20.3,68.0,25.0,The Rose Bowl,Balanced,0
Manchesters Super Giants,Trent Rockets,70.0,30.0,0.0,3,5,40.0,25.0,151.6,154.6,6.0,6.6,144.0,50.0,Manchesters Super Giants,Bat,19.5,65.0,46.0,Lords,Balanced,0
MI London,Manchesters Super Giants,80.0,30.0,0.0,0,0,90.0,25.0,106.6832883100107,106.23749233896457,4.838604465462704,4.78972644613401,146.0,56.52173913043478,Manchesters Super Giants,Bowl,19.583823529411767,61.0,30.830882352941178,Kennington Oval,Balanced,0
Birmingham Phoenix,London Spirit,40.0,30.0,0.0,0,0,70.0,0.0,106.6832883100107,106.23749233896456,4.838604465462704,4.78972644613401,153.0,38.095238095238095,Birmingham Phoenix,Bowl,19.583823529411767,73.0,30.83088235294117,Edgbaston,Balanced,0
Trent Rockets,Southern Brave,70.0,50.0,0.0,0,0,70.0,0.0,106.6832883100107,106.23749233896457,4.838604465462704,4.789726446134009,162.0,41.935483870967744,Southern Brave,Bat,19.583823529411767,81.0,55.0,Trent Bridge,Balanced,0
Sunrisers Leeds,Welsh Fire,70.0,20.0,0.0,0,0,60.0,66.66666666666666,106.6832883100107,106.23749233896457,4.838604465462704,4.78972644613401,183.0,23.076923076923077,Sunrisers Leeds,Bowl,19.583823529411767,66.06474820143885,31.00476089716462,Headingley,Balanced,0
London Spirit,MI London,30.0,80.0,0.0,0,1,50.0,100.0,106.6832883100107,106.23749233896457,4.838604465462704,4.78972644613401,167.0,28.57142857142857,London Spirit,Bowl,19.583823529411767,82.0,31.00476089716462,Lords,Balanced,0
Manchesters Super Giants,Birmingham Phoenix,30.0,40.0,0.0,0,1,30.0,33.33333333333333,106.6832883100107,106.23749233896459,4.838604465462704,4.78972644613401,156.0,57.14285714285714,Birmingham Phoenix,Bat,19.583823529411767,82.0,25.0,Emirates Old Trafford,Balanced,0
Trent Rockets,Sunrisers Leeds,70.0,70.0,0.0,1,0,70.0,33.33333333333333,106.6832883100107,106.23749233896459,4.838604465462704,4.789726446134009,162.0,41.935483870967744,Sunrisers Leeds,Bat,19.583823529411767,66.28918836761576,30.962473848593035,Trent Bridge,Balanced,0
Welsh Fire,Southern Brave,20.0,50.0,0.0,1,0,20.0,80.0,106.6832883100107,106.23749233896459,4.838604465462705,4.78972644613401,149.0,40.0,Southern Brave,Bowl,19.583823529411767,77.0,60.0,Sophia Gardens,Balanced,0
